bedeutung;sachgruppe
sich eine falsche Vorstellung von etwas machen;6240
unberechtigterweise stolz sein, einen Dünkel haben;6450
irrtümlich annehmen, sich einreden;6240
unbedingt haben wollen;6400
sich wichtigmachen;6270
angeben, sich rühmen, großtun;6280
etwas haben wollen, sich etwas wünschen;6410
stolz sein auf;6280
hochmütig;6280
arrogant, wichtigtuerisch;6280
hochmütig;6280
in Papier einwickeln;9315
etwas zuflüstern;5360
durch Umbiegen und Festnähen des Randes von Kleidungsstücken einen Saum bilden;7545
einstürzen;9130
Veränderung am Becken der Kuh, als Anzeichen, dass die Kuh bald kalbt;4111
gewaltsam eindringen in ein Gebäude;9130
eben machen, flach machen;7430
etwas essen können (ohne Appetit);5910
Ertrag bringen;7600
Brot oder Ähnliches in kleine Stücke brechen und vor dem Verzehr in Kaffee, Milch oder Ähnliches eintunken;5910
etwas Unangenehmes verursachen;6333
Brot oder Ähnliches in kleine Stücke brechen und vor dem Verzehr in Kaffee, Milch oder Ähnliches eintunken;5910
sich warm anziehen;5930
sich warm anziehen;5930
sich warm anziehen;5930
Haar mit Fett einreiben;5940
sich warm anziehen;5930
unbeabsichtigtes Verwirren, Verknoten, Durcheinander von Wollfäden;7546
sich warm anziehen;5930
durch Umbiegen und Festnähen des Randes von Kleidungsstücken einen Saum bilden;7545
sich warm anziehen;5930
durch Umbiegen und Festnähen des Randes von Kleidungsstücken einen Saum bilden;7545
Hosenbeine hochkrempeln;5933
sich warm anziehen;5930
mit Salbe, Creme einreiben;5940
Erde als Schutz, Hülle um Gemüse schlagen, damit es über den Winter vor Frost geschützt ist;3400
in größerem Umfang einkaufen;7600
Veränderung am Becken der Kuh, als Anzeichen, dass die Kuh bald kalbt;4111
etwas haben wollen, sich etwas wünschen;6410
Entwässerungsgraben ziehen;7900
in Papier einwickeln;9315
vom Rad geschleudert werden, stürzen;7800
durch die Felder wehen vom Wind, sodass das Getreide zu Boden gedrückt wird;7440
den Schnurrbart an den seitlichen Enden nach oben drehen;5940
die Kurbel der Bremse drehen, damit das Gefährt bremst;7800
Hochatmen des Viehs, wenn es sich überfressen hat;7450
hineindrücken;5520
stauen, zurückhalten;7900
Brotteig ansetzen, säuern;7740
Kuchenteig ansetzen, säuern;7740
Ohrfeige;5521
eine;1120
Frau (in Redensart);5150
Frau;5150
eine (in Redensart);1130
Bratwurst;7565
größere Menge;9400
eben machen, flach machen;7430
Kartoffelbeete einebnen;7430
den Ackerrain beseitigen;7430
Ackerland als Wiese neu bestellen;7430
Teile des Rains wegackern, um den nutzbaren Boden zu vergrößern;7430
Waldland roden;7550
eben machen;2800
flach, eben;9200
die Saat nach dem Säen in den Boden eggen;7430
den Ackerrain beseitigen;7430
große Erdschollen zerkleinern;7430
muffig, abgestanden riechen;5430
beleidigt tun, sich beleidigt geben;6320
vermeiden, umgehen;6550
vermeiden, umgehen;6550
jemanden necken, verspotten;6333
tönen, erklingen, schlagen;5420
jemanden beschwindeln, zum Narren halten;6530
durch Umbiegen und Festnähen des Randes von Kleidungsstücken einen Saum bilden;7545
ein Knopfloch mit Stichen versehen, damit es nicht ausfranst;7545
Rausch;5925
jemand;1130
Schluck Schnaps;5920
ein Sexualpartner;1130
einer;1130
egal, gleichgültig;9240
gleich, identisch;9300
einstweilen;9600
neugeborenes Kind;5830
jemand;1130
eine Sache;9311
etwas;1130
immerzu, unentwegt;9400
schon, bereits;9600
schlicht, ohne großen Aufwand;9240
schlichtweg;9400
ohne große Umstände;6200
ohne weiteres, ohne Absprache;7200
einfach;6430
fraglos;9240
nur einmal;9400
nur einmal vertreten;9320
hineinfahren, in Richtung innen fahren (in Redensart);9800
Klee vom Bock nehmen und zum Hof transportieren;7430
Ernte einbringen;7430
herabgerutschte Erde vom unteren Rand eines steilen Ackers nach oben schaffen;7430
hineinfahren, in Richtung innen fahren (auf ein Ziel zu);7820
Veränderung am Becken der Kuh, als Anzeichen, dass die Kuh bald kalbt;4111
Veränderungen der Geschlechtsteile der Kuh, die anzeigen, dass die Kuh bald kalbt;4111
in den Sinn kommen;5400
einstürzen (Haus);9130
mager werden, stark abmagern;5220
einstürzen (in Redensart);9130
auseinanderfallen;9130
jemandem eine Arbeit anweisen;6420
sich erinnern, in den Sinn kommen;6230
umfallen, auseinanderfallen;9130
auflesen, in einen Korb lesen;5520
beim Schlachten, hervorschießendes Blut in einem Gefäß sammeln;7565
ein Knopfloch mit Stichen versehen, damit es nicht ausfranst;7545
in Papier einwickeln;9315
Erde als Schutz, Hülle um Gemüse schlagen, damit es über den Winter vor Frost geschützt ist;3400
mit Salbe, Creme einreiben;5940
etwas, z. B. beim Schreiben, eng ansetzen;8400
ein Knopfloch mit Stichen versehen, damit es nicht ausfranst;7545
etwas zuflüstern;5360
immerzu, bei jeder Gelegenheit;9400
durch Frosteinwirkung unbenutzbar, unbrauchbar werden;9130
oberflächlich gepflügt;7440
Viehfuttergemisch herstellen;7450
in die Wege leiten, vermitteln;6430
absonderlich (Charakter);6280
albern;6280
eingebildet, hochmütig;6280
naiv, dumm;6200
fade, träge, stumpfsinnig;6280
dumm;6200
naiv;6200
schwächlich;5210
hochmütig;6280
Würste mit Teig füllen;7565
sich einmischen;6440
abendliche Versorgung des Stallviehs;7450
hochmütig, arrogant;6280
arrogant, wichtigtuerisch;6280
übermäßig, unangemessen stolz auf sich;7020
pedantisch Wert auf jedes einzelne Wort legend;6260
absonderlich (Charakter);6280
sich für besser als andere haltend;6280
nach innen gebogen;9220
Mehleinbrenne;5910
mit Brotbrocken versehen;5910
mit Brocken versehen;9230
angeschlagen (Obst);7740
durch Dampf gegart;9230
eben machen, flach machen;7430
als Wiese neu bestelltes Ackerland;7430
auf engem Raum befindlich;9500
durch Befahren entstanden;7810
abgemagert, ausgezehrt;5210
abgemagert, ausgezehrt, faltig;5210
mit Stichen versehen, damit es nicht ausfranst;7545
verfilzt (Haar);5940
abgerissen, zerlumpt;5930
mit Leib und Seele;6460
Entstehen von Eisblumen am Fenster;9230
abgestorben (Pflanze);9130
Arm in Arm;9312
Arm in Arm;9312
durch Heirat in Ortsgemeinschaft eingetreten;7010
absterben (Pflanze);3000
erwischt, ertappt werden;6421
in eine geschäftliche Schieflage geraten, in Konkurs gehen;7600
mager werden, stark abmagern;5220
sich mit jemandem auseinandersetzen, beschäftigen;7000
schrumpfen;9330
absterben, kaputt gehen;9130
den Hunger vorbeigehen lassen;5910
kleiner werden, an Umfang abnehmen (in Redensart);9800
finanziellen Verlust erleiden;7600
sterben;5870
Arm in Arm;9312
Arm in Arm;9312
Arm in Arm;9312
Arm in Arm;9312
hineinjagen;9800
Rind(er) einspannen;7403
eingeklemmt (in Redensart);9312
durch Kochen verdickt und haltbar gemacht;7740
einladen;7300
in ein Brötchen geklemmt;5911
eingekocht, konserviert;7740
durch Einkochen haltbar gemachte Früchte, Marmelade;5911
zerstampft, zur Gärung angesetzt;9320
strafgefangen;8300
Brot- oder Kuchenteig anrühren;7560
Aufbewahrungsort für Kartoffeln und Rüben;7720
sich warm anziehen;5930
sich warm anziehen;5930
mit Mustern versehen;5930
begeistert, überzeugt;6280
benommen;5310
den Vorzug geben;6332
mit Stichen versehen, damit es nicht ausfranst;7545
auf engem Raum errichtet, hineingezwängt;9500
warm angezogen;5930
"auf dem kürzesten, schnellsten Weg; sofort";9500
oberflächlich gepflügt;7440
mit Reif überzogen;2200
spröde geworden;5700
sich einen Holzsplitter einstechen;5700
beim Fällen zerbrochen, aufgebrochen;9800
durch Rost nicht mehr gängig (in Redensart);9230
mit Stichen versehen, damit es nicht ausfranst;7545
mit Stichen versehen, damit es nicht ausfranst;7545
verschmutzt;5940
Zugtier(e) einspannen;7403
Pferd(e) einspannen;7403
Rind(er) einspannen;7403
hineingekotet (in Redensart);5340
eingeschlafen (in Redensart);5600
taubes Gefühl in einer der Gliedmaßen, das durch einen Blutstau verursacht wird;5320
ein Schlaf gefallen (in Redensart);5600
eingeschlagen (in Fügung);5911
das Verfolgen eines bestimmten Weges;6430
Spiegeleieingeschlagen (in Fügung);5911
eingeschlagen (in Fügung);5911
beim Fällen zerbrochen, aufgebrochen;9800
beleidigt, gekränkt;6320
in Liebe gefangen;6270
sehr an jemandem interessiert sein;6270
zerschnitten (Kartoffeln oder Kartoffelklöße, um sie in der Pfanne zu rösten);7740
zerstückelt und gebraten;7740
in Scheiben geschnittene und in Fett angebratene gekochte Kartoffeln, Bratkartoffeln;5911
in Fett gebratene rohe Kartoffelstückchen;5911
in Scheiben geschnittene und in Fett angebratene gekochte Kartoffeln, Bratkartoffeln;5911
in Scheiben geschnittene und in Fett angebratene gekochte Kartoffeln, Bratkartoffeln;5911
in Scheiben geschnittene und in Fett angebratene gekochte Kartoffeln, Bratkartoffeln;5911
abgesondert, zurückhaltend;7020
ein Stockwerk hoch;7710
zur Gärung im Silo eingelagert;7450
angebrannt von Milch;7740
eingekotet (in Redensart);5340
muffiger, abgestandener Geruch in Wohnungen;5430
anfangen, beginnen;9313
beim Fällen zerbrochen, aufgebrochen;9800
spröde geworden;5700
"eine bestimmte Einstellung zu jemandem, etwas habend; gesinnt, orientiert";6330
sich einen Holzsplitter einstechen;5700
mit Kot bespritzt;7790
mit Saatgut bebaut;7430
zur Gärung angesetzt;9320
verschmutzt;7220
geachtet, geschätzt;7010
niedergedrückt vom Getreide durch Wind;7440
stark bärtig;5940
eingekocht, haltbar gemacht;5911
gewässert, von Viehfutter;7450
weichgekochtes oder gewässertes Viehfutter;7450
weichgekochtes oder gewässertes Viehfutter;7450
in Papier eingeschlagen;9315
durch Wind an das stehende Getreide gedrückt;7440
unordentlich ineinander verkeilt liegen;9320
ein Zugtier abrichten;7403
durcheinander gebracht, verstrubbelt (Haare);5940
Brustkorb mit nach innen gewölbten Rippen ?;5210
verfilzt (Haar);5940
wirr, ungekämmt (Haar);5940
auf engem Raum errichtet, auf engem Raum befindlich;9500
eingeengt;9210
einschenken (Getränk);5920
Erde als Schutz, Hülle um Gemüse schlagen, damit es über den Winter vor Frost geschützt ist;3400
junge Pflanzen ins Erdreich setzen;7480
ins Erdreich setzen (zur Lagerung);8100
eine Wiese ansäen;7430
ein Stockwerk hoch;7710
auf die Wiese oder den Rain beim Pflügen hinausgetretene Erde auf den Acker zurückstreifen;7430
Arm in Arm gehen;9312
die Arme gegenseitig einhängen;9312
den Rodelschlitten mit den Schuhabsätzen bremsen;7360
(etwas, was als verbindlich gilt, eine Verpflichtung) befolgen, erfüllen, sich daran halten, danach richten;6550
den Rodelschlitten mit den Schuhabsätzen bremsen;7360
in größerem Umfang einkaufen;7600
gerne und viel essen;5910
etwas aufbrauchen, nichts übrig lassen;9315
wenn ein Zugtier sich mit dem Fuß im Geschirr verfängt;9312
tüchtig essen;5910
etwas, z. B. eine Bremse, durch eine schnelle, kräftige Armbewegung in Betrieb setzen;7820
Fällkerbe in Baumstamm schlagen;7550
mit Fällkerbe versehen;7550
ohrfeigen;5521
viel und kräftig essen;5910
Getreide schneiden;7440
Prasseln des Regens an die Scheibe;2200
auf etwas hauen;5521
durch schlagen öffnen;9800
viel essen;5910
wenn ein Zugtier sich mit dem Fuß im Geschirr verfängt;9312
mit großem Appetit essen;5910
Brot- oder Kuchenteig anrühren, säuern;7740
Brot- oder Kuchenteig anrühren, säuern;7740
einheimisch;7010
in größerem Umfang einkaufen;7600
durch Heirat in Ortsgemeinschaft eintreten;7010
jemanden plagen, quälen;6333
jemanden zur Eile antreiben;5570
Feuer im Ofen machen, heizen;7750
den Rodelschlitten mit den Schuhabsätzen bremsen;7360
die Arme gegenseitig einhängen;9312
die Arme gegenseitig einhängen;9312
die Arme gegenseitig einhängen;9312
hinein;9510
Fußspuren auf frisch geputztem Boden machen;7790
von Flüssigkeit: mit großer Wucht, in schnellem Tempo in Form eines Strahls herankommen;9233
mit vollem Mund kauen;5360
Klee vom Bock nehmen;7430
hinein, nach innen;9510
hinein;9510
hinein, nach innen (in Redensart);9510
Brot oder Ähnliches in kleine Stücke brechen und vor dem Verzehr in Kaffee, Milch oder Ähnliches eintunken;5910
hineinfahren, in Richtung innen fahren (auf ein Ziel zu);7820
Veränderung am Becken der Kuh, als Anzeichen, dass die Kuh bald kalbt;4111
hineingehen;7700
in Richtung innen gehen (auf ein Ziel zu);7820
emotional berühren;6300
untergehen der Sonne;2100
tüchtig essen;5910
ohrfeigen;5521
ohrfeigen, prügeln;5521
schlagen, prügeln;5521
untergehen der Sonne;2100
zustande bringen (in Redensart);6430
auf die Wiese oder den Rain beim Pflügen hinausgetretene Erde auf den Acker zurückstreifen;7430
plötzlich sehr schnell losfahren oder losrennen;5530
wenn ein Zugtier sich mit dem Fuß im Geschirr verfängt;9312
trinken, ohne dabei zu schlucken;5920
sich einen Holzsplitter einstechen;5700
trinken, ohne dabei zu schlucken;5920
Schmutz von draußen ins Haus tragen;7790
Fußboden mit nassem Lappen säubern;7780
in größerem Umfang einkaufen;7600
Ernte einbringen;7430
sich warm anziehen;5930
sich warm anziehen;5930
einhundert (in Redensart);9320
sich warm anziehen;5930
sich warm anziehen;5930
sich warm anziehen;5930
die Arme gegenseitig einhängen;9312
die Arme gegenseitig einhängen;9312
lang andauern;9600
anziehen der Zugtiere;7403
die Arme gegenseitig einhängen;9312
einhaken;9312
wenn ein Zugtier sich mit dem Fuß im Geschirr verfängt;9312
wenn ein Zugtier sich mit dem Fuß im Geschirr verfängt;9312
auf die Wiese oder den Rain beim Pflügen hinausgetretene Erde auf den Acker zurückstreifen;7430
in Papier einwickeln;9315
sich warm anziehen;5930
einer Meinung sein, zustimmen;6440
einer Meinung;6440
einer Meinung (in Redensart);6440
eine unbestimmte kleinere Anzahl;9400
hinein;9500
ein wenig, etwas;1130
etliche, mehrere;1130
"zu einer Übereinstimmung, Einigung kommen; mit jemandem übereinkommen";6440
mit vollem Mund kauen;5360
mit vollem Mund kauen, viel Essen in den Mund nehmen;5360
mit vollem Mund kauen;5360
mit vollem Mund kauen;5360
viel Essen in den Mund nehmen;5360
mit vollem Mund kauen;5360
tüchtig essen;5910
versetzen;9800
jeder;9400
Rind(er) einspannen;7403
Rind(er) einspannen;7403
älteres Fohlen;4112
Rind(er) einspannen;7403
ein Knopfloch mit Stichen versehen, damit es nicht ausfranst;7545
sich merken, im Gedächtnis behalten;6230
einkaufen;7600
einkaufen, erwerben;7600
ein Kind bekommen;5820
den Pflug wenden;7440
besuchen;7010
zu Gast sein, sich bei jemandem einstellen;5531
ernten von Kartoffeln;7430
verpetzen, denunzieren;6540
die Wiese zusammentreten;5530
ein Kind gebären;5820
hereinkommen, in die Stube;9800
in eine geschäftliche Schieflage geraten, in Konkurs gehen;7600
schöntun bei Höhergestelltem;6530
auf die Wiese oder den Rain beim Pflügen hinausgetretene Erde auf den Acker zurückstreifen;7430
schöntun bei Höhergestelltem;6530
ins Gefängnis gehen;8310
etwas, z. B. beim Schreiben, eng ansetzen;8400
sich warm anziehen;5930
ein Knopfloch mit Stichen versehen, damit es nicht ausfranst;7545
Fleisch in Salzlauge legen, um es haltbar zu machen;7565
sich beim Sprechen verwirren;5360
hineinfassen;5520
Umgang mit etwas pflegen (in Redensart);6550
auf etwas eingehen;6260
Umgang pflegen;7010
die Schweine in den Auslauf oder ins Freie (Wiese, Acker) treiben;4113
Umgang pflegen, ein sexuelles Verhältnis haben;5350
durch Umbiegen und Festnähen des Randes von Kleidungsstücken einen Saum bilden;7545
wenn ein Zugtier sich mit dem Fuß im Geschirr verfängt;9312
wenn ein Zugtier sich mit dem Fuß im Geschirr verfängt;9312
durch Gehen (stark) beanspruchen, verschleißen, abnutzen;9130
Latten unter die Deckenbalken nageln;7520
trinken, ohne dabei zu schlucken;5920
Hochatmen des Viehs, wenn es sich überfressen hat;7450
in die Pfanne gießen (Teig für Omelett);7740
vom Rad geschleudert werden, stürzen;7800
Fleisch in Salzlauge legen, um es haltbar zu machen;7565
seitliches Neigen eines Zweirads bei Durchfahren einer Kurve;7810
Aufsatz des Leiterwagens wechseln;7403
konservieren, einmachen;7740
Erde als Schutz, Hülle um Gemüse schlagen, damit es über den Winter vor Frost geschützt ist;3400
den Ackerrain beseitigen;7430
eine Wiese ansäen;7430
Getreide auf armvolle Haufen zusammenlegen;7440
Teile des Rains wegackern, um den nutzbaren Boden zu vergrößern;7430
bei einem Konzert oder einer anderen Darbietung eine Zugabe spielen;8700
Brot- oder Kuchenteig säuern, gehen lassen;7740
Entwässerungsgraben ziehen;7900
Feuer im Ofen machen, unterhalten;7750
ein Tier zum Zugtier abrichten;7403
zum Zugtier abrichten;7403
wenn ein Zugtier sich mit dem Fuß im Geschirr verfängt;9312
wenn ein Zugtier sich mit dem Fuß im Geschirr verfängt;9312
unbeabsichtigtes Verwirren, Verknoten, Durcheinander von Wollfäden;7546
überhängende Langhölzer, die auf dem Wagen transportiert werden sollen, mit Hilfe eines Strickes o. ä. in Fahrtrichtung bringen;7550
ein Tier zum Zugtier abrichten;7403
als Zugtier abrichten;7403
abrichten;7550
für jemanden verständlich, klar sein, auf jemanden überzeugend wirken;6200
wenn ein Zugtier sich mit dem Fuß im Geschirr verfängt;9312
einmachen, einlegen, einkochen, konservieren;7740
Brot- oder Kuchenteig anrühren;7560
den Teig zusammenrühren;7560
Brotteig anrühren;7740
mischend zubereiten;7560
Vorteig für Brot anrühren;7740
gekochte Äpfel oder Kartoffeln durch Sieb drücken;7740
sich warm anziehen;5930
mal;1140
einmal;1000
bitte;6410
endlich;9400
bei dieser Gelegenheit, dieses Mal;9320
doch, bitte;6410
gelegentlich, zuweilen;9600
einmal (Frequenz);9320
zwischenzeitlich, einstweilen;9600
zu einem unbestimmten Zeitpunkt;9600
(endlich) mal;9400
bei Gelegenheit;9600
erneut;9400
jemals, bei irgendeiner Gelegenheit;9600
aber, wirklich;9400
bisweilen, hin und wieder;9400
dereinst;9600
(wieder) mal;9400
ein einziges Mal;6320
einst;9600
mal, nach langer Zeit wieder;9600
aber;9400
nun mal, endlich;9600
einmal (in Fügung);9400
gelegentlich, endlich;8320
mit Verlaub;6126
nicht einmal;9400
doch bitte;6410
wahrhaft, wirklich;9400
doch;9400
manchmal;9400
nun mal;9400
damals;9600
ein (einziges) Mal;9400
einmal (in Redensart);9600
plötzlich;9600
wahrhaftig;9400
erneut;9600
besonders, herausragend;9240
ins Gefängnis sperren;8310
sich warm anziehen;5930
niederdrücken vom Getreide durch Wind;7440
sich warm anziehen;5930
in größerem Umfang Waren einkaufen;7600
sich warm anziehen;5930
durch Mauern einschließen, fassen;7510
Brot- oder Kuchenteig anrühren;7560
Brot- oder Kuchenteig anrühren;7560
Brotteig anrühren;7740
anrühren, durch rühren anmischen;7560
Kuchenteig anrühren;7740
die Luft in einem Zimmer durch Rauch, z.B. eine Zigarre oder Zigarette verderben;5921
Erde als Schutz, Hülle um Gemüse schlagen, damit es über den Winter vor Frost geschützt ist;3400
Brot- oder Kuchenteig anrühren;7560
einmischen;6440
sich warm anziehen;5930
sich warm anziehen;5930
sich warm anziehen;5930
sich warm anziehen;5930
sich warm anziehen;5930
sich warm anziehen;5930
sich warm anziehen;5930
sich warm anziehen;5930
sich warm anziehen;5930
sich warm anziehen;5930
sich warm anziehen;5930
sich warm anziehen;5930
sich warm anziehen;5930
sich warm anziehen;5930
sich warm anziehen;5930
sich warm anziehen;5930
sich warm anziehen;5930
sich warm anziehen;5930
sich warm anziehen;5930
sich warm anziehen;5930
sich warm anziehen;5930
sich warm anziehen;5930
sich warm anziehen;5930
sich warm anziehen;5930
sich warm anziehen;5930
sich warm anziehen;5930
eine Gasse ins Getreide mähen;7440
Getreide mit der Maschine schneiden;7440
Getreide schneiden;7440
tägliches Mähen des Grases für Futterzwecke;7430
hinterher;9510
Latten unter die Deckenbalken nageln;7520
die Luft in einem Zimmer durch Rauch, z.B. eine Zigarre oder Zigarette verderben;5921
einen Vorschuss erhalten;7620
in Erfahrung bringen, erlauschen;5420
einen positiven Eindruck machen;6310
in den Bann ziehen;6332
platzieren;9800
alten, alleinstehenden Menschen in erbschleicherischer Absicht pflegen;6540
ein Nest bauen;4200
eine Vogelart in einer neuen Gegend heimisch machen;4200
den Kinderwagen schaukeln;5380
durch Umbiegen und Festnähen des Randes von Kleidungsstücken einen Saum bilden;7545
ein Knopfloch mit Stichen versehen, damit es nicht ausfranst;7545
jemandem etwas aufdrängen, z.B. Speise;6460
sich warm anziehen;5930
in Papier einwickeln;9315
sich warm anziehen;5930
in Papier einwickeln;9315
sich warm anziehen;5930
Erde als Schutz, Hülle um Gemüse schlagen, damit es über den Winter vor Frost geschützt ist;3400
auf die Wiese oder den Rain beim Pflügen hinausgetretene Erde auf den Acker zurückstreifen;7430
jemandem alles für die Abreise Nötige besorgen;7850
jemanden etwas mitgeben;9315
sich warm anziehen;5930
in Papier einwickeln;9315
in Papier einwickeln;9315
ein Knopfloch mit Stichen versehen, damit es nicht ausfranst;7545
einen Säugling mit dem Wickelband wickeln;5830
junge Pflanzen ins Erdreich setzen;7480
auf die Wiese oder den Rain beim Pflügen hinausgetretene Erde auf den Acker zurückstreifen;7430
den Ackerrain beseitigen;7430
Rind(er) einspannen;7403
sich warm anziehen;5930
sich warm anziehen;5930
sich warm anziehen;5930
sich warm anziehen;5930
auf die Wiese oder den Rain beim Pflügen hinausgetretene Erde auf den Acker zurückstreifen;7430
herabgerutschte Erde vom unteren Rand eines steilen Ackers nach oben schaffen;7430
Fleisch in Salzlauge legen, um es haltbar zu machen;7565
jemanden in Schnee einlegen;7360
die Luft in einem Zimmer durch Rauch, z.B. eine Zigarre oder Zigarette verderben;5921
beim Radfahren in die Pedale treten;7820
auf die Wiese oder den Rain beim Pflügen hinausgetretene Erde auf den Acker zurückstreifen;7430
eine Gasse ins Getreide mähen;7440
einkaufen;7600
die Luft in einem Zimmer durch Rauch, z.B. eine Zigarre oder Zigarette verderben;5921
auf die Wiese oder den Rain beim Pflügen hinausgetretene Erde auf den Acker zurückstreifen;7430
herabgerutschte Erde vom unteren Rand eines steilen Ackers nach oben schaffen;7430
jemandem mit Worten zusetzen;6421
"zureden, insistieren; durch eindringliches Reden etwas Falsches glauben machen";6530
durch Reiben das Eindringen von etwas bewirken;5940
jemanden mit Schnee einreiben;7360
jemanden mit etwas einreiben;7360
viel Geld bezahlen;7600
zahlen;7600
das Äußere durch Reiben mit etwas (z. B. Würze, Medizin) versehen;9315
ein flüssiges Medikament auf der Haut einreiben;5700
in etwas hinein reiben;9315
mit Reif überziehen;2200
sich einen Holzsplitter einstechen;5700
Aufsatz des Leiterwagens entfernen;7403
spröde werden von der Haut um den Fingernagel;5700
zerstören (in Redensart);9130
beim Fällen zerbrechen, aufbrechen;7550
einreißen, bis auf die Grundfesten zerstören;9314
die Saat nach dem Säen in den Boden eggen;7430
reparieren, instand setzen;7500
sich einen Holzsplitter einstechen;5700
einen Schlag, einen Hieb versetzen;5521
zerstören;5530
zerstören (in Redensart);9130
jemanden mit Schnee einreiben;7360
jemanden mit etwas einreiben;7360
überhängende Langhölzer, die auf dem Wagen transportiert werden sollen, mit Hilfe eines Strickes o. ä. in Fahrtrichtung bringen;7550
beleidigt, übelnehmerisch;6320
streitsüchtig;6280
pedantisch Wert auf jedes einzelne Wort legend;6260
stur, unnachgiebig;6260
sich einen Holzsplitter einstechen;5700
einen Baum zum Fällen anzeichnen;7550
in Papier einwickeln;9315
in Papier einwickeln;9315
in eine geschäftliche Schieflage geraten, in Konkurs gehen;7600
mit einem Rad ausgestattet;7403
ein Knopfloch mit Stichen versehen, damit es nicht ausfranst;7545
die Luft in einem Zimmer durch Rauch, z.B. eine Zigarre oder Zigarette verderben;5921
auf die Wiese oder den Rain beim Pflügen hinausgetretene Erde auf den Acker zurückstreifen;7430
herabgerutschte Erde vom unteren Rand eines steilen Ackers nach oben schaffen;7430
Militärdienst beginnen;8500
ins Gefängnis gehen;8310
bekanntgeben durch Veröffentlichung in der Zeitung;7200
anrühren, durch rühren anmischen;7560
Brot- oder Kuchenteig anrühren;7560
Kuchenteig anrühren;7740
Hefeteig, Vorteig für Brot anrühren;7740
rühren, durch kreisförmige Bewegung mit einem Rührgerät mischen;9800
Aufsatz des Leiterwagens anbringen;7403
eine unbestimmte Sache;1130
eins;9320
eins (in Redensart);1130
ein;1130
einer Meinung sein, zustimmen;6440
eins;9320
etwas zuflüstern;5360
mit Salbe, Creme einreiben;5940
jemanden mit Schnee einreiben;7360
Fleisch in Salzlauge legen, um es haltbar zu machen;7565
jemanden mit Schnee einreiben;7360
alleine;9200
ansäen;7480
säen, ansäen;7440
sich von jedem Einzelnen einer Gruppe geben, aushändigen lassen;6421
letzte Ernte einbringen;7440
Getreide auf armvolle Haufen zusammenlegen;7440
Erde als Schutz, Hülle um Gemüse schlagen, damit es über den Winter vor Frost geschützt ist;3400
wenn ein Zugtier sich mit dem Fuß im Geschirr verfängt;9312
sich schmutzig machen;5940
ein Knopfloch mit Stichen versehen, damit es nicht ausfranst;7545
eine Gasse ins Getreide mähen;7440
einkaufen;7600
ernten, einbringen;7430
Latten unter die Deckenbalken nageln;7520
auf die Wiese oder den Rain beim Pflügen hinausgetretene Erde auf den Acker zurückstreifen;7430
besuchen;7010
den Darm in etwas entleeren (in Redensart);5340
einschenken (Getränk);5920
einschenken (in Redensart);9315
wenn ein Zugtier sich mit dem Fuß im Geschirr verfängt;9312
wenn ein Zugtier sich mit dem Fuß im Geschirr verfängt;9312
allein, ohne Partner;7010
allein, ohne Geschwister;7010
abseits, allein;7010
allein, abgesondert von anderen;7010
freistehend, einzeln;7010
einzeln, allein, ledig;7010
vereinzelt stehend;9311
vorübergehend alleinstehend;7010
sich mit Milch füllen, als Anzeichen dafür, dass die Kuh bald kalbt;4111
heftig einströmen;9800
hineinströmen;9800
allein, ohne Partner;7010
allein, ohne Geschwister;7010
freistehend, einzeln;7010
einzeln, allein, ledig;7010
allein, abgesondert von anderen;7010
die Zeilen beim Schreiben nicht einhaltend;5230
absonderlich (Charakter);6280
ein Stockwerk hoch;7710
zu sehen sein (in Redensart);2500
Zugtier(e) einspannen;7403
Pferd(e) einspannen;7403
Rind(er) einspannen;7403
Zugtier(e) ausspannen;7403
dem Zugtier Geschirr anlegen;7403
in den Schlaf sinken;5600
in den Schlaf sinken (in Redensart);5600
Erde als Schutz, Hülle um Gemüse schlagen, damit es über den Winter vor Frost geschützt ist;3400
in Papier einwickeln;9315
durch Umbiegen und Festnähen des Randes von Kleidungsstücken einen Saum bilden;7545
knallend, krachend auftreffen und dabei zünden, explodieren;9130
streiten;6333
schlagen;5521
Blitzschlag (in Redensart);2200
Schlag versetzen;5521
Teile des Rains wegackern, um den nutzbaren Boden zu vergrößern;7430
Waldland roden;7550
auf die Wiese oder den Rain beim Pflügen hinausgetretene Erde auf den Acker zurückstreifen;7430
den Ackerrain beseitigen;7430
einen Weg betreten;9500
sich einen Holzsplitter einstechen;5700
Zugtier(e) einspannen;7403
schwanger werden (ungewollt);5810
den Rodelschlitten mit den Schuhabsätzen bremsen;7360
übertrieben umsorgen, verwöhnen;7020
den Boden vor dem Säen bearbeiten;7430
die Saat nach dem Säen in den Boden eggen;7430
beim Fällen zerbrechen, aufbrechen;7550
schöntun bei Höhergestelltem;6530
einschmeicheln;6330
zerstören;9130
mit Salbe, Creme einreiben;5940
etwas, z. B. beim Schreiben, eng ansetzen;8400
ein flüssiges Medikament auf der Haut einreiben;5700
beleidigt sein;6320
sich mürrisch, beleidigt verhalten;6333
sich verschließen;9312
den Atem einziehen;5330
eine Gasse ins Getreide mähen;7440
mit dem Messer verletzen;7501
jemanden mit Schnee einreiben;7360
Erde als Schutz, Hülle um Gemüse schlagen, damit es über den Winter vor Frost geschützt ist;3400
in etwas schrauben;9315
sparsam leben;9315
Schwellen vom Kuheuter nach dem Kalben;4111
einschenken (Getränk);5920
