lemma;bedeutung;sachgruppe
Buben-mutter;Frau, die nur Söhne hat;5350
Buben-narr;Mädchen, das den Burschen gern nachläuft;6130
Buben-narr;mannstolles Frauenzimmer;5350
buben-närrisch;burschentoll;5350
Buben-platz;für Buben bestimmter Platz in der Kirche;8830
Buben-possen;Bubenstreich;7360
Buben-rankse;mannstolles Frauenzimmer;5350
Buben-rassel;mannstolles Frauenzimmer;5350
Buben-recht;/(W) Ausruf der Buben im Spiel oder beim Ertapptwerden bei einer Untat/;7360
Buben-rolle;Mädchen, das sich gern mit Buben herumbalgt;7360
Buben-rolze, -rolzer, -rolzerin;Mädchen, das gern mit Buben herumtollt;7360
Buben-rolze, -rolzer, -rolzerin;mannstolle Frau;5350
Buben-rütsche, -rutsche, -rütscher;Mädchen, das viel mit Buben umgeht;7010
Buben-rütsche, -rutsche, -rütscher;mannstolles Frauenzimmer;5350
Buben-schenkel;Gebäck in der Form zweier Schenkel;5911
Buben-schlecker;Mädchen, das sich gern mit Buben abgibt;7010
Buben-schmacker, -schmecker(sin);Mädchen, das gern mit Buben spielt;7360
Buben-schmacker, -schmecker(sin);mannstolles Frauenzimmer;5350
Buben-schule;nur von Knaben besuchte Schule;8400
Buben-sonne;(sch) Mond;2100
Buben-spitze;Schupfnudeln aus Kartoffeln;5911
Buben-spitze;Aron (Arum maculatum);3500
Buben-stand;/Stand in bestimmten Gesellschaften/;7010
Buben-streich;wie schd »Bubenstreich;7360
Buben-stücke;FlN in BZ-Silz;8140
Buben-tabak;von Buben als Tabak gerauchte Rebenblätter;5921
buben-töricht;mannstoll;5350
Buben-vater;Vater, der nur Buben hat;7100
Buben-veiole;Stiefmütterchen;3800
Buben-winker;gekräuselte Schläfenhaare bei Mädchen;5940
Büberei;wie schd »Büberei;6420
Bubi;kleiner Bube;5146
Bubi;Hundename;4117
Bubi-kopf;kurzgeschnittenes Haar bei Mädchen;5940
bubisch;ungeschliffen wie ein Bube;7020
publik;allgemein bekannt;6250
Publikum;wie schd »Publikum;7010
Buch;Schulbuch;8400
Buch;theologisches Buch;8820
Buch;Schuld-, Borgbuch;7600
Buch;Geschäftsbuch;7600
Buch;/(W) Liste bei der Polizei/;8230
Buch;24 bzw. 25 Bogen Papier;9400
Buch;Blättermagen des Rindviehs;4111
Buch-bach;Name eiens Baches bei HB-Höch;8140
Buch-binder;wie schd »Buchbinder;7500
Buch-born;Quelle im Buchenwald, FlN;8140
Buche;Rotbuche (Fagus silvatica);3110
buche;/Reimwort im AR/;1210
Buch-ecker;Frucht der Rotbuche;3110
Buchel;Frucht der Rotbuche;3110
Buchel-affe;erfundenes Tier...;4800
Buchel-baum;Rotbuche (Fagus silvatica);3110
Büchel-berg;Ort im Kr. GH;8130
Buchel-klopfer;Volkstanz im Walzertakt;8740
Buchel-kopf;FlN in KL-Fischb;8140
bucheln;/(W) aus Bucheln geschlagen (Öl)/;3110
Buchel-sieb;Sieb, mit dem die Bucheln ausgesiebt werden;7550
Buchel-stück;FlN für ein Waldstück in KL-Ottbg;8140
buchen, büchen;aus Buche;7520
Buchen-baum;Rotbuche (Fagus silvatica);3110
Buchenes;Buchenholz;7550
Buchen-, Büchen-holz;wie schd »BuchenBüchenholz;7550
Buchen-land;deutsche Bez. für das einstige österreichische Kronland Bukowina;8160
Buchen-loch;Name einer Waldabteilung bei BZ-Silz, in Kaislt Sportplatz...;8140
Büchen-stamm;wie schd »Büchenstamm;3110
Buchen-stein;Grenzstein;8221
Buchen-, Büchen-stumpf;wie schd »BuchenBüchenstumpf;3110
Buchen-tal;FlN in NW-Lambr;8140
Buchen-, Büchen-wald;wie schd »BuchenBüchenwald;3110
Bücher-brett;wie schd »Bücherbrett;7730
Bücher-narr;wie schd »Büchernarr;6110
Bücher-ranzen;wie schd »Bücherranzen;8400
Bücher-sack;Bücherbeutel;8400
Bücher-schank;Bücherschrank;7730
Bücher-tasche;Schulranzen;8400
Buch-fink;wie schd »Buchfink;4210
Buchfinken-land;zur Bezeichnung einer öden, waldigen Gegend, namentlich des Westrichs;8160
Buchfinken-tal;Tal des Moschelbachs in der NPf;8140
Buch-halde;von Buchen bestandene Halde;8140
Buch-halter;wie schd »Buchhalter;7600
Buch-handlung;wie schd »Buchhandlung;7600
Buch-holz;Buchenwald;3110
Buch-kopf;FlN;8140
Buch-magen;Blättermagen bei Wiederkäuern;4010
Buch-mardel, -marder;Edelmarder;4130
Buchs;die Pflanze Buxus sempervirens;3220
buchs;/Reimwort im AR/;1210
Buchs-baum;die Pflanze Buxus sempervirens;3220
Buchs-baum;Christbaum;7310
Buch-schachen;Waldabteilung, vorwiegend mit Buchen bepflanzt;3110
Büchse;kleineres, rundes Gefäß;7735
Büchse;Hohlzylinder, in dem sich die Radachse dreht;7500
Büchse;Gewehr;8500
Büchse;weibliche Scham;5200
Büchse;Hure;6136
Buchse;dicke eiserne Kugel;7530
Büchsen-fleisch;wie schd »Büchsenfleisch;5910
Büchsen-macher;wer Gewehre instandsetzt;8500
Büchsen-macher;(sch) von einem Vater, der nur Töchter hat;7100
Büchsen-meister;wer Geschütze herstellte, richtete und abfeuerte;8500
Büchsen-milch;wie schd »Büchsenmilch;7455
Büchsen-ranzen;Rucksack, Jagdtasche;7550
Büchsen-ranzen;Uzname für die Bewohner von KB-Mörsf;8150
Büchsen-sack;"Tasche der Arbeiter, die im ""Preußischen""...arbeiten";7800
Büchsen-schuß;als Maß für Entfernungsangaben;9500
Buch-sieb;weitmaschiges Sieb;7550
Buchs-kopf;Kopf mit wirrem Haar;5940
Buchs-kopf;Tabakspfeife;5921
Buchs-pälmen;die Pflanze Buxus sempervirens;3220
Buchs-stecken;gabelförmiger Stock;7350
Buchs-strauch;die Pflanze Buxus sempervirens;3220
Buchs-sträußchen;Sträußchen aus Buchs;3220
Buch-stabe(n);wie schd »Buchstaben;8400
Buch-stabe(n);(W) Gesäß (sch);5200
Buch-stabe(n);(W) nichts;9400
Buch-stabe(n);(W) genau nach Vorschrift;8220
Buchstaben-suppe;Suppe, in der eine Teigeinlage in Buchstabenformen verwendet wird;5911
buch-stabieren;wie schd »buchstabieren;8400
Buch-stein;eine Sandsteinart;2900
Buchs-zweig;wie schd »Buchszweig;3220
Büchten-eck;FlN;8140
Büchten-loch;FlN;8140
Buch-wald;Buchenwald;3110
Buch-weizen;wie schd »Buchweizen;3320
Bückchens;das Gleiten auf dem Eise in tiefer Kniebeuge;7340
Puck-ei;Osterei, mit dem nach einer Erdvertiefung hin gepuckt wird;7310
Buckel;Rücken des Menschen;5200
Buckel;Rücken des Tieres;4010
Buckel;der im Augenblick gekrümmte Rücken beim Tier, auch beim Menschen;5500
Buckel;Rückenauswuchs, Höcker;5210
Buckel;Spitz- und Schimpfname auf einen Buckeligen;5120
Buckel;Hügel, Geländeerhebung;2800
Buckel;auf einem Hügel gelegenes, minderwertiges Grundstück;7420
Buckel;Wölbung im Mauerwerk;7510
Buckelbauch-fest;(sch) Schlachtfest;7320
Buckel-brut;Drohnenbrut in Arbeiterzellen;7460
buckel-brütig;/drohnenbrütig/;7460
buckel-hankeln;(ein Kind) huckepack tragen;7800
Buckel-huppschens, -huppsens;Bockspringen;7360
Buckel-huppser;mannstolles Frauenzimmer;5350
buckelig;von einem verwachsenen Menschen;5210
buckelig;/von Körperteilen/;5210
buckelig;gebückt, gekrümmt;5500
buckelig;uneben, hügelig, bergig;2800
Buckel-korb;mit Tragbändern über die Schulter gehängter Rückenkorb;7800
Buckel-kratzer;Hagebutte;3210
Buckel-männchen;buckeliger kleiner Mann;5140
buckeln;auf dem Rücken tragen;7800
buckeln;den Rücken krümmen, Verbeugungen machen;5550
bückeln;anbinden (Rebe);7470
Buckelorum;Buckliger;5120
Buckel-weh;Rückenschmerzen;5700
bücken;den Rücken beugen;5550
pucken;stoßen;5520
Puckert;Klumpen von Früchten an einem Fruchtstiel;3010
Puckert;(W) auf einem Haufen;9400
Puckert;besonders dicke Spielkugel;7370
Puckerts-kugel;Brotkuchen;5911
puckert-weise;haufenweise, in Klumpen;9400
Puckert-zwiebel;Sorte kleiner Zwiebeln, die...in einem Puckert beisammenstehen;3400
Bückling, Bücking;geräucherter Hering;5911
Bückling;Bindrebe (Biegrebe);7470
Bückling;Verbeugung;7020
Bucksen, Bücksen;Hose;5032
Bucksen, Bücksen;Knabenhose;5933
Bucksen, Bücksen;Alltagshose aus gröberem Tuch;5932
Bucksen, Bücksen;alte Hose;5932
Bucksen, Bücksen;weite Hose;5932
Bucksen, Bücksen;kurze Hose;5932
Bucksen, Bücksen;Frauenunterhose;5934
Bucksen, Bücksen;Hüllblatt des Getreidekeimlings;3300
Bucksen-hosen;erste Hose des Buben;5933
Bucksen-knebel;Knabe mit der ersten Hose, Hosenmatz;5830
Bucksen-knieberich;Knabe mit der ersten Hose, Hosenmatz;5830
Bucksen-kniebes;Knabe mit der ersten Hose, Hosenmatz;5830
Bucksen-knopf;Hosenknopf;5932
Bucksen-knopf;Hosenmatz;5830
Bucksen-latz;Klappe am Gesäßteil der Knabenhose;5933
Bucksen-mann;Hosenmatz, kleiner Bube;5830
Bucksen-sack;Hosentasche;5932
Bucksen-schisser;Hosenmatz;5830
Bucksen-schisser;Angsthase;6110
Bucksen-schneider;Hosenschneider;7545
Buckser;Spitz- und Uzname;6110
Bückser;/Reimwort in dem KR (gegen den Schluckauf)/;1210
Buckskin;Bez. für eine ältere Stoffart mit kräftigem Gewebe;5931
Buckskin;schlechter Wein;7470
buckskinen;aus Buckskin;5931
Buckskin-hosen;Hosen aus Buckskin;5932
Buckskin-montur;Anzug aus Buckskin;5933
buddeln;wühlen;5520
buddeln;(W) Vogelnester ausheben;4210
buddern;(W) Vogelnester ausheben;4210
Pudding;wie schd »Pudding;5911
Bude;altes Haus;7710
Bude;Fußballtor mit dem vom Tornetz begrenzten Raum;7340
Pudel;Pudelhund;4117
Pudel;Mensch, der die Schmutzarbeiten erledigt;5540
Pudel;schlechte, schmutzige Frau;6134
Pudel;schmutziges Mädchen, das gern im Schlamm wühlt;7360
Pudel;keckes Mädchen;6280
Pudel;Pedell einer höheren Schule;8400
Pudel;Fehlwurf beim Kegeln;7340
Pudel;Pfütze, Tümpel, Pfuhl;2600
Pudel;Jauche;7400
Pudel;schlechter Kaffee;5920
Pudel;/Hof des Mondes/;2100
pudelarsch-nackig;ganz und gar nackt;5932
Pudel-biene;Schlammfliege (Eristatis communis);4700
pudel-blutt;splitternackt;5932
Pudel-eimer;Eimer, mit dem Jauche geschöpft und getragen wird;7402
pudelfasen-nackig;splitternackt;5932
Pudel-faß;Jauchefaß;7402
pudel-fett;sehr fett;5210
Pudel-flügge;leichtsinnige Frau;6137
Pudel-hund;wie schd »Pudelhund;4117
Pudel-hund;Uzname für die Bewohner von SP-Mechth...;8150
pudelig;ungeordnet;9320
pudelig;edelfaul, morsch (von Weintrauben);7470
Pudel-loch;Jauchegrube;7410
Pudel-lotte;Jauchefaß;7402
pudeln;plätschern;9230
pudeln;Staub aufwirbeln, Aufsehen erregen;6420
pudeln;mit Jauche düngen;7430
pudel-nackig;ganz nackt;5932
pudel-nackt;ganz nackt;5932
pudel-närrisch;im höchsten Grad lustig;6310
pudel-naß;naß bis auf die Haut;9230
Pudel-pumpe;Jauchepumpe;7402
Pudel-schöpfer;Gefäß mit Stiel zum Schöpfen der Jauche;7402
Pudel-wagen;Wagen, auf dem das Jauchefaß transportiert wird;7403
pudel-wohl;sehr wohl;6310
Pudel-zuber;Zuber zum Jauchetragen;7402
Puder;wie schd »Puder;5940
puderig;locker, gut ausgefroren (von der Gartenerde);2700
pudern;im Sand baden;4240
pudern;auflockern;9230
pudern;wie schd »pudern;5940
Budget;Haushaltsplan;8220
Budrie;kleiner Zwist;6333
buff, puff;Schallwort;1220
Puff;Stoß;9800
Puff;Haustrunk;7470
Puff;Bordell;5350
Puff;bauschiger Besatz an der Frauenkleidung;5934
Puff-ärmel;Ärmel mit Aufbauschung im Ärmelansatz;5934
Puff-bohne;Saubohne (Vicia faba);3400
Büffel;wie schd »Büffel;4111
Büffel;dummer Kerl;6127
Büffeler;wer angestrengt lernt;8400
Büffel-kopf;dicker Kopf;5210
buffeln;viel essen;5910
büffeln;eifrig lernen, angestrengt lernen;8400
büffeln;trinken;5925
Büffel-ochse;dummer Mensch;6117
büffen;lernen;8400
büffen;einen trinken;5925
puffen;stoßen;9800
puffen;dröhnen;5420
Puffen-jäckchen;Frauenbluse mit Puffärmeln;5934
Puffer;Stoß;9800
Puffer;Stoßdämpfer am Eisenbahnwagen;7830
Puffer-deckel;/Reimwort im AR/;1210
puffern;schlagen, klopfen;5320
Puffert;kleine Pistole;7360
Büffet;Anrichte, Geschirrschrank, Schanktisch;7730
Büffet-mamsell;Büffetdame im Restaurant;5920
puffig;aufgedunsen;5210
puffig;aufgetrieben;9220
puffig;bauschig;5932
Bug;der Schulterteil von Rind, Kalb, Pferd und Schwein, Schulterstück;7565
Bug;Stützbalken;7710
Bügel;der am Draht umgebogene Rebensetzling;7470
Bügel;Haken an der Zugkette des Pfluges;7404
Bügel;Steigbügel;7403
Bügel;bogenartige Vorrichtung zum Verschließen des Eßgeschirrs...;7735
Bügel;die gebogenen Seitenstücke der Brille;7500
Bügel-brett;wie schd »Bügelbrett;7780
Bügel-eisen;wie schd »Bügeleisen;7780
Bügel-eisen;(sch) Plattfuß;5210
Bügeleisen-fuß;großer, plumper Fuß (sch);5210
Bügeleisen-stahl;(sch) Nase;5210
Bügel-falte;wie schd »Bügelfalte;5932
Bügel-fuß;(sch) plumper Fuß;5210
bügeln;plätten;7780
bügeln;schnell gehen, schnell laufen;5533
bügeln;verhauen;5521
bügeln;besiegen;6420
Bügel-stahl;Bügelbolzen;7500
Buger;Spaßhaft oder im Ernst als niedriges Schimpfwort gebraucht;6111
Buger;Ausruf der Anerkennung, der Hochachtung, der Verwunderung;6300
bugern;wühlen, bohren, unermüdlich arbeiten;5540
bug-lahm;lahm am oberen Gelenk des Vorderbeines;4110
Büglerin;Plätterin;7780
Büglersin;Plätterin;7780
Bug-schaufel;der Schulterteil von Rind, Kalb, Pferd und Schwein, Schulterstück;7565
Bugsel;eine Art Gummilösung zum Festkleben der umgelegten...Oberlederkanten;7540
bug-spännig;halbgelähmt am Bug;4110
Bühl;Hügel;2800
Bühl;ON;8130
Bühl;FlN;8140
Buhle;naher Verwandter, Geliebter;7100
buhlen;anhaltend bitten;6410
buhlen;heimlich reden, tuscheln;7200
Bühl-garten;FlN;8140
Bühling;FlN;8140
Bühl-klamm;FlN;8140
Bühl-schauer;FlN;8140
Bühne;erste Balkenlage oder Obertenne in der Scheune;7410
Bühne;Heuboden über dem Stall;7410
Bühne;Dachboden des Hauses;7720
Bühne;Empore in der Kirche;8830
Bühne;Theaterbühne;8700
Bühnen-stiege;Speichertreppe;7720
Bukett;Blumenstrauß;3800
Bukett;Aroma des Weines;7470
Bukett;weiße Traubenart mit gutem Aroma;7470
Bukett-rebe;weiße Traubenart mit gutem Aroma;7470
Pulcinell;Hanswurst, Kasper;7220
Pulcinellen-kasten;Kasperletheater;7360
Pulcinellen-kasten;unhandlicher Gegenstand;9220
Bulgaren-bluse;gestickte Bluse;5932
Bulgen;Sack;7500
Bull;dicker, wertvoller Klicker;7370
Bull;volle Weinbeertraube;7470
Bull;Kaffeekanne, die der Arbeiter zur Arbeit mitnimmt;7735
Bull;Gefäß zum Mitnehmen des Essens;7735
Bull;Grube, in die beim Klickerspiel geworfen wird;7370
Bull-dogge;Hunderasse;4117
Bull-dogge;bösartiger Mensch;6112
Bull-dogge;Zugmaschine, Traktor;7820
Bulldoggen-gesicht;breites, furchterregendes Gesicht;5210
Bulldoggen-lippen;aufgeworfene Lippen;5210
Bulldoggen-nase;breite Nase;5210
bull(e);Lockruf für Tauben;7451
Bulle;Zuchtstier;4111
Bulle;Fettwanst, dicker Mensch;5120
Pulle, Pülle;junges Huhn, vor der Legereife;4240
Pulle, Pülle;Vogelmiere (Stellaria media);3900
Bullen-beißer;bissiger Hund;4117
Bullen-beißer;Schimpfwort für einen grimmigen Menschen;6111
Püllen-ei;Ei der Junghenne;4240
Bullens;Klickerspiel, bei dem man in die Bull treffen muß;7370
Bullens-klicker;besonders dicker Klicker;7370
Bullen-spiel;Spiel, bei dem Klicker oder Knöpfe in die Bull geschoben...werden;7370
Buller;besonders dicker Klicker;7370
bullern;brüllen;5560
Bulle-wuks;Schreckgestalt, mit der man Kinder ängstigt;7350
Bulle-wutz;Schreckgestalt, mit der man Kinder ängstigt;7350
Bull-faß;dicke Frau;5163
Pull-hahn;Truthahn;4240
Bullion;Fleischbrühe ohne Einlage;5911
Pullover;wie schd »Pullover;5932
Pullpull-rotznase;Truthahn;4240
Bülmes;dicker Kopf;5120
Puls;wie schd »Puls;5320
Puls-ader;wie schd »Pulsader;5320
Puls-schlag;wie schd »Pulsschlag;5320
Puls-wärmer;wie schd »Pulswärmer;5932
Pult;Katheder, Tisch mit schräger Schreibfläche;8400
Pulver;Schießpulver;8500
Pulver;Arzneimittel in Pulverform;5700
Pulver;Geld, Vermögen;8330
Pulver;körperliche (bes. geschlechtliche) Kraft;5350
Pulver-baum;Faulbaum (Rhamnus frangula);3110
Pulver-faß;wie schd »Pulverfaß;8500
Pulver-faß;Mensch, der leicht erregt und heftig wird;6110
Pulver-haus;Gebäude, in dem das Sprengpulver gelagert wird;8500
Pulver-holz;Faulbaum (Rhamnus frangula);3110
Pulver-kaute;FlN;8140
Pulver-kopf;Mensch, der leicht erregt und heftig wird;6110
Pulver-kuchen;mit Backpulver gebackener Kuchen;5911
Pulver-macher;Handwerker, der Pulver herstellt;7500
Pulver-mühle;Mühlwerk zur Bereitung von Schießpulver;7500
pulvern, pülvern;mit Kunstdünger düngen;7430
pulvern, pülvern;bezahlen;7620
pulvern, pülvern;einen trinken;5925
Pulver-pforte;FlN;8140
Pulver-schwamm;Eierbovist (Bovista nigrescens);3500
Pulver-stoffel;Uzname für die Bewohner von GH-Hagb;8150
Pulver-turm;Turm, der als Pulvermagazin dient;8500
Bulwersma;Wirrwarr, Durcheinander;9320
Bulz;eine Fleischspeise;5911
Bulz;älteres Kartenspiel;7380
Bulzichen;Schmeichelname für die Katze;4116
bum;Schallwort für dumpfen Schlag, Fall, Kanonenschuß;1220
Bu-mann;Schreckgestalt, mit der man Kinder beim Dunkelwerden ängstigt;7350
bum-bauf;Schallwort, Nachahmung des Schusses;1220
bumbei(j)a;in verschiedenen KR;1210
Bumbezines;Standbild des hl. Nepomuk in LA-Kirrw;8830
Bum-birne;Birne zum Keltern;3120
Bum-birne;Kartoffel (Solanum tuberosum);3400
bumdibum;Schallwort für Trommelklang;1220
Bumees;weit entfernte Gegend, die man nicht näher bezeichnen will;8160
Bumesin;ältere Tuchart;5931
Bummel;Hauhechel (Ononis spinosa);3500
Bummel-acker;FlN;8140
Bummel-bahn;Kleinbahn;7830
Bummel-dorn;Hauhechel;3500
Bumm(e)ler;Nichtstuer, Faulenzer;6114
Bumme(e)ler;Hummel;4700
Bummel-feld;FlN;8140
bummel-fest;ganz fest;9312
Bummel-hans;Nichtstuer, Faulenzer;6114
bummeln;verhauen;5521
bummeln;fest auftreten;5530
bummeln;sich untätig herumtreiben;6550
Bummel-zug;Kleinbahn;7830
bummen-dick;sehr dick;5210
Bummer;Kiefernzapfen;3110
Bummer;dickes Kind;5120
Bummer;kleiner, dicker Hund;4117
Bummer;Schnapsfläschchen mit dickem Bauch;5925
Bummer;kleine Pistole;8500
Bummer;/nicht allzu lauter Bauchwind/;5340
Bummerax;besonders dicke Spielkugel;7370
bummerig;dick, unbeholfen;5210
Bummer-loch;Arrestlokal im Dorf;8300
bummern;dröhnen;5420
bummern;polternd gegen etwas stoßen, schlagen;9800
bummern;prügeln;5521
bump;/Schallwort für dumpfen Ton beim Auffallen eines schweren Körpers/;5420
Pump;auf Kredit;7600
Pump-brunnen;Brunnen mit einer Pumpe;7900
Pumpe;Gerät zum Pumpen;7500
Pumpe;Brunnen mit einer Pumpe;7900
Pumpe;Stechheber;7470
bumpel;/Schallwort, das lauten, dumpf dröhnenden Ton nachahmt/;5420
Bumpel;dicke weibliche Person;5163
Bumpel;dicke Spielkugel;7370
Bumpel;weibliche Scham;5200
Bumpel;Karo-Dame;7380
Bumpel;Kreisel;7360
Pumpel;tiefe Stelle im Bach;2600
bumpel-dick;ganz dick;5210
bumpelig;dick, fett;5210
Bumpel-korb;hoher, bauchiger Korb mit Deckel;7736
bumpeln;dumpf tönen, dröhnen;5420
bumpeln;schlagen;5521
Bumpelns;ein Klickerspiel;7370
Bumpel-stock;Stock zum Prügeln;5521
bumpen;dröhnen, dumpf knallen;5420
bumpen;mit der Faust...auf den Rücken eines anderen trommeln;5520
bumpen;prügeln;5521
bumpen;stoßen;9800
bumpen;lernen;8400
pumpen;eine Flüssigkeit pumpen;9230
pumpen;einen trinken;5925
pumpen;Luft pumpen;7500
pumpen;atmen;5330
pumpen;verleihen, entleihen;8330
Pumpen-arm;Pumpenschwengel;7500
Pumpen-kübelchen;kleiner Kübel an der Wasserpumpe;7900
Pumpen-macher;wie schd »Pumpenmacher;7500
Bumpen-nickel;Begleiter des Christkindes;8850
Pumpen-schwengel;Pumpenarm;7500
Pumpen-stock;Kolbenstange der Pumpe;7500
Bumper;starkes Getöse beim Fallen einer schweren Person;5420
Bumper;Stoß, Schlag;5520
Bumper;dicker, kleiner Bube;5143
Bumper;altes Gewehr;8500
Bumper;Beule;5700
bumperdi;Schallwort...;1220
bumpern;dumpfen Schall verursachen, dröhnen;5420
bumpernellen;/(W) den Teig schlagen/;7560
Bumper-nickel;Brotart, hart und schwarz, bes. vom Soldatenbrot;5911
Bumper-nickel;Bonbon;5920
Bumper-nickel;dicke, plumpe Person;5120
Bumper-nickel;/im Sprichwort/;8840
Bumpes;dicker Mensch;5120
Bumpes;Kartoffelklöße;5911
Bumpes;Bonbon;5920
Bumpes;schlechter Wein, Tresterwein;7470
Bumpes;Schläge, Prügel;5521
Bumpes-birne;Hieb;5521
pumpete;/Reimwort im VR/;1210
Pump-hose;weite Kniehose;5932
bum(p)s;/Schallwort, zur Nachahmung eines plötzlichen dumpfen Falles/;5420
bum(p)s;für das abrupte Ende eines Vorgangs, eines Geschehens;9314
bum(p)s;(W) ganz und gar;9400
Bumpsel;unsauberes, dickes Mädchen;5163
bum(p)sen;dröhnen, dumpf knallen;5420
bum(p)sen;platschen, patschen (vom Aufprall auf die Wasseroberfläche);5420
bum(p)sen;laut furzen;5340
bum(p)sen;stoßen;9800
bum(p)sen;prügeln;5521
bum(p)sen;ein Glas Wein trinken;5925
Bum(p)ser;dumpfer Schall beim Fallen;5420
Bum(p)ser;Furz;5340
Bum(p)ser;Stoß;9800
Bum(p)ser;harter Kopf;5210
Bums;Kneipe;5920
Bums;Bezeichnung für eine Gastwirtschaft in Land (um 1920);5920
bum-satt;ganz satt;5910
bumsdara;/Reimwort im VR/;1210
bums-dich;für das abrupte Ende eines Vorgangs, eines Geschehens;9314
bums-still;plötzlich ganz still;5420
Bund;Bund Stroh, Heu u. dgl.;9400
Bund;Abschlußband an Kleidungsstücken;5930
Bund;Querverbindungsstange in der Mitte des Wagens;7403
Bund;hoher, runder Napfkuchen;5911
Bund-axt;Zimmermannsaxt, besonders zum Herstellen der Zapfenenden an Balken...;7520
Bund-balken;Tragbalken im Dachgerüst an der Giebelseite des Hauses;7710
Bündel;/zusammengebundene Traglast: Heu, Gras, Stroh/;7400
Bündel;Wanderbündel, Habseligkeiten der Dienstboten;7800
Bündel;/zusammengebundene Menge einer Ware (Pflanzen)/;9400
Bündel;bestimmtes Quantum Käse;7455
Bündel-besen;Besenart;7736
bündeln;zu einem Bündel binden;9312
bündeln;die Dienststellung wechseln;7350
bündeln;schwanger werden;5350
bündel-närrisch;mannstoll;5350
Bündels-, Bündelchens-tag;Tag des Dienstbotenwechsels;7350
Bündel-wein;Wein, den Knechte und Mägde am Bündelstag ihren Freunden... zahlten;7350
Bunden;Wagenfähre;7820
Bunden-bach;Name zweier Dörfer im Kr. ZW;8130
Bunden-korn;/Korn/;3310
Bunden-thal;Ort im Kr. PS;8130
Bundes-tag;wie schd »Bundestag;8210
Bundestags-abgeordneter;wie schd »Bundestagsabgeordneter;8210
Bund-form;Backform für den Bundkuchen;7735
Bund-kuchen;hoher, runder Napfkuchen;5911
Bundkuchen-form;Backform für den Bundkuchen;7735
Bundkuchen-teig;Teig für den Bundkuchen;7560
Bund-pfosten;...Pfosten, der den Brustriegel trägt;7520
Bund-radon;hoher, runder Napfkuchen;5911
Bund-riemen;Riemen zum Binden;5930
Bund-schurz;Schürze mit festgenähtem Gürtelband;5932
Bund-schüssel;Backform für den Bundkuchen;7735
Bund-stiefel;Schnürstiefel;5937
Bund-teig;Teig für Bundkuchen;7560
Bund-zange;Balken im Dachstuhl;7520
bungern;anhaltend biten;6410
Bungert;FlN;8140
Punkt;Satzzeichen;8400
Punkt;Punkt auf dem i;8400
Punkt;die Pupille;5200
Punkt;Wertungsziffer;9320
Punkt;die in Rede stehende Sache;9100
Punkte-macher;wer die Qualität des Tabaks nach Punkten beurteilt;7490
pünktlich;wie schd »pünktlich;9600
pünktlich;genau, pedantisch;6550
Punktum;wie schd »Punktum;9314
bunt;vielfarbig;9231
bunt;verschiedenartig;9200
bunt;arg, viel;9400
punterlich;empfindlich;6320
buntig;vielfarbig;9231
Bunt-specht;wie schd »Buntspecht;4210
Bunz;weibliche Scham;5200
pupfen;prügeln;5521
Pupille;wie schd »Pupille;5410
Pupille;Waisenkind unter der Aufsicht eines Vormundes, Mündel;7010
Pupillen-geld;Waisengeld;8240
Bupp;Furz;5340
Puppchens;mit Puppen spielen;7360
Puppe;Spielpuppe;7360
Puppe;ausgestopfte menschenähnliche Gestalt;7500
Puppe;neugeborenes Kind;5830
Puppe;nettes, kokett gekleidetes Mädchen;6130
Puppe;kleine Person;5120
Puppe;Puppe aus Kuchenteig;7350
Puppe;Schmetterlingslarve;4700
Puppe;Blütenknospe des Klatschmohns;3500
Puppe;dünne Getreidegarbe;7440
Puppe;Bündel getrockneten Tabaks;7490
Puppe;der gedrehte Verschluß (Knoten) des Strohseils;7500
Puppe;Geld;7600
Puppelchen(s)-brunnen;/für Kinder bestimmte Erklärung der Geburt/;5820
puppelig;klein, niedlich;9210
buppeln;pochen, schnell klopfen;5320
buppeln;mit Geräusch massenweise herabfallen;5420
buppeln;/herabfallen (Tränen)/;5300
puppeln;hätscheln, liebkosen, auf dem Arm wiegen;6332
puppeln;sich wie ein kleines Kind gebärden;5830
puppeln;das Getreide in dünnen Garben zum Trocknen aufstellen;7440
buppen;furzen;5340
puppen;zu Büscheln zusammenbinden (Tabak);7490
Puppen-base;Hebamme;5820
Puppen-brünnlein;/für Kinder bestimmte Erklärung der Geburt/;5820
Puppen-gesicht;wie schd »Puppengesicht;5210
Puppen-hähnlein;Kiefernzapfen;3110
Puppen-hannes;Arrestlokal im Dorf;8300
Puppen-haus;im KR;7360
Puppen-haus;eingefaßte Quellen im Puppental bei NW-Wachh;8140
Puppen-käse;Malve (Malva neglecta u. silvestris);3800
Puppen-kind;Puppe;7360
Puppen-kleid;Kleidchen für die Puppe;5932
Puppen-kleid;kurzes, enges Kleid;5934
Puppen-küche;Miniaturküche zum Spielen;7360
Puppen-küche;tadellos saubere und aufgeräumte Küche;7740
Puppen-mutter;Mädchen, das gern mit Puppen spielt;7360
Puppen-schank;zur Puppenstube gehörender Schrank;7360
Puppen-schäse;Puppenwagen;7360
Puppen-spiel;Puppentheater;8600
Puppen-stube;wie schd »Puppenstube;7360
Bupper;Erdloch, von dem aus beim Klickerspiel Bupperns...geschurgelt wird;7370
Püpperchen;kleines Geschwür, Mitesser;5700
Pupperich;verhätschelter, einfältiger Mensch;6110
