lemma,bedeutung,sachgruppe
ein wenig,bitte,6410
Rütsche,hängende Schaukel (Kindersprache),7360
müchern,schlechten Geruch verströmen,5340
schreien,Laute von sich geben: Tiere (allgemein),4020
Flaum,leichter Schneebelag in der Landschaft,2200
hinanschauen,betrachten,5410
zurechtrücken,jemanden heftig schimpfen,6333
aufreizen,jemanden aufhetzen,6460
hinausfahren,sich zur Arbeit auf das Feld begeben,7430
änderen,"abändern, modifizieren",5930
feuern,ohrfeigen,5521
zerkleinern,das Knochengerüst eines gebratenen Huhns herauslösen,5911
Alberer,spröder Bursche,6121
Sprudeln,"Geräusch des Wassers, wenn es zu kochen beginnt",5420
Liebelei,"kurze, unverbindliche Liebesbeziehung",6332
Zorn,Zorn,6320
"abwürgen, sich","sich abmühen, sich stark um etwas bemühen",5540
Bock,"Ärger, Beleidigtheit",6320
Rafe,"Dachsparren, Teil des Daches",7721
Oberhauser,Familienname,7110
Betschwester,"Frau, die übertrieben häufig betet, frömmelt",6130
Hundsdütte,"etwas wertloses, nichts (Fügung)",9330
Johannisvogel,Leuchtkäfer,4700
Litzen,"Unsinn, Unfug",6560
Heuhüppser,Weberknecht,4700
Poppeleinswiege,Kinderwiege,7730
Auge,Fettauge,5911
Hüllherrlein,Libelle (Insekt),4700
filzet,zu dicht gesät,7440
Großmogul,"Prahler, eingebildeter Mensch, Gernegroß",6119
Erdbirnenbröcklein,Rest der Kartoffel nach dem Reiben,7740
listig,von List zeugend,5210
Wäschezwecklein,einfache Wäscheklammer,7770
geil,sexuell attraktiv,5167
Zuber,zum Viehtränken gebrauchtes Wassergefäß,7450
Angströhre,"Hut, der eine außergewöhnliche Form hat",5936
Schwung,"Elan, Energie",6400
Atlas,"Atlas, hochglänzendes Seidengewebe",5931
Schneehaube,"Kopfbedeckung, die mit einem Schirm bzw. Schild und Ohrenklappen ausgestattet ist",5936
Schöner,"allgemeine Kosebezeichnung für einen Hund, der einem sehr gefällt",4118
Schaffell,Schaffell,4010
Erdäpfelbackeslein,Kartoffelpuffer,5911
Haselkätzchen,Blütenstände der Haselnuss,3010
schaufeln,"wegräumen, zur Seite räumen",9315
lange,"geraume Zeit, viel Zeit",9600
weglugen,den Blick abwenden,5410
Milchweck,Brötchensorte aus Hefeteig,7560
Katzenpratze,Katzenpfote,4116
Schmierer,"Handwerker, der schnell und schlampig arbeitet",9330
aufgebläht,"dick, hervortretend vom Bauch eines Kindes",5210
anhintappen,sich tastend vorwärtsbewegen,5530
Offenbacher,Einwohner Offenbachs,8100
Nasenzwickes,Flügelsamen des Ahornbaumes,3110
herabmachen,jemanden denunzieren,7200
Heckeichiger,spröder Bursche,6121
Dätscher,"Hut, der eine außergewöhnliche Form hat",5936
Neber,Bohrer,7500
zusammenziehen,"austrocknen, z. B. ein Geschwür",5700
Anwende,sehr kleiner Acker,7440
Flasche,"Mann, dessen Frau ihm durch schimpfen zusetzt",6120
verfallen,von selbst in Unordnung geraten nach Kämmen,9800
polatschen,reden wie ein Tscheche (pejor),6110
gutherzig,"freundlich, hilfsbereit",6332
Verrecker,"allgemeine Kosebezeichnung für einen Hund, der einem sehr gefällt",4118
Pflaume,nicht energische weibliche Person,6134
zwecklos,ohne Zweck,9700
traumhappet,"verträumt, unaufmerksam",5570
kraus,"kraus, (natürlich) gelockt, gewellt",5210
verkorksen,sich den Magen verderben,5340
Simpel,"Person, die wenig Verstand hat",6117
Fasnachtaftermontag,"Dienstag vor dem Aschermittwoch, letzter Tag in der Fastnacht",7310
Kuder1,(vor allem männliche) Wildkatze,4130
Salzhutte,"Gefäß an der Wand, in dem man das Salz aufbewahrte",7735
Rensing,Familienname,7110
Schieler,"Person, die schielt",5120
Trittbrett,Türschwelle,7720
überlaufen,überlaufen (in Redensart),9233
zublieseln,etwas zuflüstern,5360
herausschlenkern,aus der Spur Werfen des Pfluges infolge harten Untergrundes,7430
wackelig,"unsicher, fraglich",9700
Knäuslein,erstes Stück von abgeschnittenem Brot oder Kuchen,5910
Rabe,"Kolkrabe (Corvus corax), Krähenvogel (allgemein)",4210
Hüpferer,Mann (pejor): untreu,6126
Betschwester,sprödes Mädchen,6139
reiteln,Langholzfuhre mittels einer Spannkette stabilisieren,7403
Kipf1,auf der Kufe senkrecht stehendes Stützholz am Schlitten,7405
"herausmachen, sich",sich nach Krankheit wieder erholen,5700
Busch,dicht gewachsener Strauch,3200
Augenfältelein,Falten um die Augen herum,5210
abgeflanket,"abgerissen, zerlumpt",5930
afer,schneefrei,2700
Schlatterer,"Mensch, der schnell und ununterbrochen spricht",6110
Reisiggebündlein,Reisigbündel,7550
großkopfig,sozial hochgestellt,7010
Jockl,männlicher Vorname,7120
Hiefelein,Heckenrose,3210
huen,"sich über größere Entfernungen etwas laut, aber verständlich zurufen",5560
so,so,1230
unverheiratet,nicht verheiratet,7321
brühwarm,sehr warm,9230
Scherenschleifer,gering qualifizierter Mensch,7010
preschen,sehr schnell rennen,5533
Dachskopf,eigenwilliger Mensch,6117
Schrei,"Schrei, schriller Laut",5560
Saustallkäse,sauer gewordene Milch,7455
Weinen,das Weinen aus Trauer,6320
Sauerei,großes Durcheinander in der Küche nach dem Kochen,7740
schönes Wetter werden,sonniges Wetter werden,8810
Rain,die Grasnarbe als Ganzes,3020
Ochse,"Mann (pejor): alter Mann, der sich für junge Mädchen interessiert",6126
Umstandskramer,"unbeholfener, umständlicher Mensch",6110
Unrechtiger,"Mensch, der ohne Rücksicht auf sein Ziel losgeht",6116
Tonne,Tonne (in Redensart),7735
Schmusheirat,durch Vermittlung zustande gekommene Ehe,7321
dibbern,schäkern von Verliebten,6332
zerfetzt,(von Kleidungsstücken) durch längeres Tragen abgenutzt und verbraucht,5930
Feierabendsbäuerlein,"Bauer, der neben der Hofarbeit noch in einem Betrieb arbeitet",7401
Stück,Waldstück,7550
eins (Zahl),eins,9320
aufgeschlitzt,erstmals aufgebrochen von Land,2700
auskalken,die Zimmerwand weiß streichen,7590
läulet,"abgestanden, schal, nicht mehr kühl",5440
Schwalbenschwanz,Gehrock,5933
untereinandergewirbelt,durch Drehen vom Wind in Unordnung Gebrachtsein des Getreides,7440
hinein die Anke setzen,ein Kind auf den Schultern umhertragen,7360
Mockel,"Mann (pejor): alter Mann, der sich für junge Mädchen interessiert",6126
klein,"klein, schmächtig",5210
Grammelstuhl,Gerät zum Brechen des Flachses,7490
Bankertlein,unartiges Kind,6116
Gewend,"Pflugwende, Ende des Ackers, das zuletzt gepflügt wird",7440
Stubenweißen,"das weiß streichen der Stube, des Zimmers",7590
Lühwasser,"Wasser, in dem die gewaschene Wäsche gespült wurde",7770
Äpfelschelze,Apfelschale,3120
Asche,Asche,7750
Wimmelbacher Grund,"Flur, Landschaft",8160
dasig,"krank, kränklich",5700
Pferdestecher,Libelle (Insekt),4700
Hennengockel,Hahn,4240
Docke,"Mädchen, Frau (pejor)",6131
schneegeblendet,vom Schnee geblendet,1000
herabsäuen,"betont unhöflich, scharf tadeln",6333
aufgebacken,in der Pfanne geröstet,7740
Zange,"Frau, die ihren Mann ausschimpft",6132
lamentieren,bei großer Anstrengung stöhnen,5360
Hut,die aus Ackerland neu entstandene Wiese,7420
Firsthaube,oberster länglicher Balken des Dachstuhls,7710
Medikament,Medikament,5700
rotauget,rotäugig,5410
Ansässiger,"Bewohner einer Landschaft, eines Dorfes, dessen Familie schon über mehrere Generationen dort lebt",7010
Docke,"schwächliche, kränkliche weibliche Person",5160
Gepieps,"schlechte Musik von einem Blasinstrument, z. B. einer Flöte",8730
wegkommen,wegkommen,5532
Stummel(-schwanz),kurz geschnittener Schwanz eines Tieres,4010
Genasch,Süßigkeit,5910
graben,Flusssand mithilfe des Baggers herausheben,7500
Kleinnudlenteig,"Teig für Nudeln, Teigwaren",5910
gemustert,mit Mustern versehen,5930
Stürz,"Hut, der eine außergewöhnliche Form hat",5936
Anstand,"Beschwerden, Unannehmlichkeiten, Schwierigkeiten",6430
dareinlugen,dreinschauen,5410
Zeug,"Siebensachen, Reiseutensilien",7850
Amischlippche,"Frau (pejor): Mädchen, das mit einem Amerikaner befreundet ist",6136
Haupt,"Pflugwende, Abteilung des Ackers, auf der der Pflug gewendet wird",7420
Bodenfräse,Gerät um die Ackererde zu lockern,7404
Kongo,Mensch mit schwarzer Hautfarbe (pejor),7012
Federschachtel,Kästchen mit Schiebedeckel für Stifte,8400
Lernschule,Schule,8400
schwach,wütend,6320
Miserabelwasser,scherzhafte Bezeichnung für Limonade,5920
Auslaben,Mahl nach der Ernte,5910
schluchzen,"still, fast tränenlos weinen",6320
rauchen,schimpfen,6333
Spanne,"Kette, die die beiden Wagenleitern zusammenhält",7403
greinen,bei Pflanzen: Auslaufen von Pflanzensaft an Verletzungen,3020
herunterziehen,jemandem Geld beim Spiel abgewinnen,7390
Spundweg,Fahrspur im Feldweg,7810
Butterweck,Butterbrot,5911
Patsche,Wortführerin in einer Gruppe von Frauen,6135
täpperlen,"mit kleinen Schritten gehen, trippeln",5530
Sprutz,"jemand, der sich sehr wichtig nimmt",6119
abgekappt,heimlich verabredet,7200
Oberflächlicher,"Person, die flüchtig arbeitet",6114
Elisabetha,weiblicher Vorname,7120
Hennenschlag,Hühnereinschlupf beim Hühnerstall,4240
zusammenstauchen,durch Stauchen zusammendrücken,9800
Würstchen,bedauernswerter Mensch,6110
richtig,sehr,9400
Bollenkätzlein,Blütenstände der Haselnuss,3010
herausgeben,seine Absichten klar aussprechen,6420
Palme,Palme (in Redensart),3100
estimieren,"achten, hochschätzen",6332
Totenberg,Friedhof,5870
ungelegt,nicht aktuell (in Redensart),4240
schnappen,hinken,5530
belegen lassen,Haustiere decken lassen,4110
Pflotterhafen,"Kind, das häufig weint",5170
bedeuten,"ankündigen, vorhersagen",7200
Kuh,kräftige Frau (pejor),5161
Klefel,"Mensch, der ohne Rücksicht auf sein Ziel losgeht",6116
klappern,Prasseln des Hagels an die Scheibe,2200
Sprutzer,"Prahler, eingebildeter Mensch, Gernegroß",6119
hineinhacken,streiten,6333
bloß,"ohne Blätter, ohne Laub",3010
alleweil,jetzt,9600
abzwicken,"aufbewahren, beiseite legen",7600
Bolli,"untersetzter, handfester Kerl",5142
Sturzel,Abfall beim Gemüseputzen,7740
Sauerbraten,Fleischspeise,5911
Putzfimmel,"Putzzwang, Putzneurose",6270
Reisigholz,auf dem Waldboden liegendes Astholz,7550
Meichelein,Frau,5150
Dickschädel,Ehemann (verächtlich),0
hinüberstreiten,"diskutieren, ein Streitgespräch führen",6333
allesmals,"manchmal, gelegentlich, immer wieder",9400
zusammenkritzeln,"etwas, z. B. beim Schreiben, eng ansetzen",8400
Garbstrick,Band zum Verschnüren der Getreidegarben,7440
Eiterpickel,Eiterpickel,5700
aus,vorbei,9314
Stier,"fader, träger, stumpfsinniger Mensch",6117
Höscheleisen,Schlittschuh,7340
Zwerchsack,Leinentuch zum Transport,7800
Schnurrer,Libelle (Insekt),4700
verstockt,"kernfaul, von Holz",7550
Gaukelbock,Stechmücke,4700
Strohbutzen,Goldammer Emberiza citrinella,4210
derschlagen,totschlagen,5521
Kabine,abgeteilter Raum in einem Personenwagen der Eisenbahn,7840
gehen,"führen, sich bis zu einem gewissen Punkt erstrecken",7850
Küchenbehalter,Schrank zum Aufbewahren von Lebensmitteln,7740
kolossal,"sehr, enorm",9400
Schwarzbeerenzupfer,"Person, die Heidelbeeren sammelt",7550
turmlig,"torkelnd, taumelnd, schwindlig",5310
Möbel,Einrichtungsgegenstand,7730
Plärrmaul,"Mann, der ununterbrochen redet, sich gern reden hört",6126
Schnecken,Anrede unter Verliebten,6332
Kirchweihpatz,Kirchweihkuchen aus Hefeteig,5911
Bienenkappe,Labmagen des Rindes,4111
Ohreule,Eulenart,4220
abpatschen,ohrfeigen,5521
Schepperskarre,"Wagen, der in schlechter Verfassung, kaum noch zu gebrauchen ist",7403
hinunter,unter,9310
Gift,der zur Schneide ausgedengelte Rand des Sensenblattes,7402
zulüseln,etwas zuflüstern,5360
abmachen,vereinbaren,6440
Keuperlandschaft,Landschaft mit überwiegend Keuperböden,2700
mordsviel,sehr viel,9400
Hauenrücken,hintere Seite der Haue,7505
rothaarig,rotes Haar habend,5210
Lämmchen,neu geborenes weibliches Schaf,4114
ausgepufft,(von Kleidungsstücken) durch längeres Tragen in unförmiger Weise ausgeweitet,5930
Flunkerei,unwahre Geschichte,6530
Giftschleuder,"Person, die dauernd schimpft",6110
zutreten,"durch Gehen (stark) beanspruchen, verschleißen, abnutzen",9130
Gewüchs,Geschwür,5700
Kübelkratzer,Gerät zum Zusammenkratzen der Teigreste beim Backen,7740
näseln,schwätzen,7210
anreiten,anziehen der Zugtiere,7403
Alexander,männlicher Vorname,7120
schieben,schieben,9800
hintendreinzocklen,langsam hinterhergehen,5530
Quittenapfel,Quitte,3120
Zeiselein,nicht energische weibliche Person,6134
schwarzes Fleisch,Räucherfleisch,7565
hinhauen,von Hand an etwas hinzufügen,0
Hasenmann,männlicher Hase,4120
Brotzelsuppe,"Mann, dessen Frau ihm durch schimpfen zusetzt",6120
Jägerstand,Jägerstand,7550
Muttel2,"missmutiger, enttäuschter, beleidigter Gesichtsausdruck",6320
Traniger,"fader, träger, stumpfsinniger Mensch",6117
umstoßen,das erste Mal nach der Ernte den Acker pflügen,7440
umeinanderfahren,ziellos in bestimmter Weise in Bewegung sein,9800
Rucher,"Mensch, der ohne Rücksicht auf sein Ziel losgeht",6116
gescheit,bemerkenswert gut,9240
machen,"vorstellen, geben",7010
lücket,locker,9315
Inlett,Bettfedernhülle,7770
blindlings,"nur von einem augenblicklichen Gefühl o. Ä. geleitet, ohne dabei an das zu denken oder zu überlegen, was sich aus dem Tun, Verhalten Nachteiliges ergeben kann",6460
Turmel,"Mensch, der sich übereilt und dadurch alles verkehrt macht",6114
Fleischkrack,"Person, die gern und viel Wurst isst",6116
zusammenbläken,eine lautstarke Auseinandersetzung führen,6333
zweimal,"zweimal, übertrieben",9400
zweizinkig,mit zwei Zinken versehen,7402
Bändel,Band zum Verschnüren der Getreidegarben,7440
Fleck,Hautverfärbung,5210
kurven,beim Radfahren in die Pedale treten,7820
Maser,"schadhafter, fauliger Fleck an Obst",3120
"verziehen, sich",sich zurückziehen,6421
machen,eine Veränderung verursachen,9800
Tollpatsch,"Mensch, der übereilt und unüberlegt handelt",6114
Pech,Pech (in Redensart),2900
abbrechen,"Veränderung am Becken der Kuh, als Anzeichen, dass die Kuh bald kalbt",4111
Zütz,Ausgießschnabel am Topf,7740
Matschenschnee,wässriger Schnee,2200
Emmi,weiblicher Vorname,7120
irr werden,sich beim Sprechen verwirren,5360
Eisklotz,wässriger Schneeklumpen,2200
Klotz,Träger für den Aufsatz des Leiterwagens in der Mitte des Fahrgestells,7403
schwindsüchtig,von bleichem Aussehen,5700
haarig,knapp,9330
Dürrleber,schwächlicher Mensch (nicht Kind),5120
Latwerge,"Marmelade, Konfitüre",5911
äfer,"mild, frostfrei (Wetter)",2400
August,männlicher Vorname,7120
Deppelein,"lahmer, immer wie gelähmt wirkender Mensch",5230
schnättern,Laute von sich geben: Ente,4020
Scherbe,Hut des Kaminkehrers,5936
Futtertonne,Gefäß für Futtersalz oder Kraftfutter,7450
Laufpaß,Ablehnung eines Heiratsantrags,6440
gatzern,"Stimme der Henne, wenn sie gelegt hat",4240
Hühnerstall,Hühnerstall (in Redensart),4240
überschreiben,den Hof an den Sohn weitergeben,8330
hineintappen,einen Fauxpas begehen,6560
Melkgeschirr,"Gefäß, in das gemolken wird",7735
Armee,"Armee, Streitmacht eines Landes",8500
hampeln,kämpfen der Zicklein,4115
Tasse,Tasse,7735
schnabulieren,"Mit Behagen verzehren, naschen",5910
Wäschpatsche,Gerät zum Schlagen der nassen Wäsche,7770
Wagen,Wagen,7403
Dauerreder,redseliger Mann,6121
Fanges,Fangenspiel,7360
fortgehen,sich ohne Abschied entfernen,5532
der letzte Tag in dem Jahr,letzter Tag im Jahr,7330
Repperndorfer,aus Repperndorf,8130
Transuser,"Mensch, der oft wie in Gedanken oder im Traum ist",6110
Zweitsaat,zweite Einsaat auf einem Feld (Grünfutter),7440
Blech,törichtes Gerede,7200
eingehen,finanziellen Verlust erleiden,7600
einsaumen,eine Gasse ins Getreide mähen,7440
Bempes,ein dicker und dabei sehr kleiner Bub,5171
Hutzelein,Rest der Kartoffel nach dem Reiben,7740
Suppe,sumpfiger Boden,2700
Brunn,Brunnen,7900
Patschelein,Kartoffelpuffer aus gekochten Kartoffeln,5911
wälgern,Herstellen einer Schneerolle zum Bau eines Schneemanns,7360
Schmiss,Platzwunde,5700
Bühlarsch,ausgebeultes Gesäß der Hose,5930
Feger,"Kind, das die Mitschüler zum Lachen zu bringen versucht",8400
Mönchsgrasmücke,"Vogel, der in der näheren Umgebung des Erhebungsortes vorkommt",4210
"treffen, sich","gelegen, zu jemandes Absichten passend",6440
Stange,Stange (in Redensart),5340
fahren,"sich in, auf oder mit etwas fortbewegen",7820
Kartoffeln,Kartoffel,3400
Essentrager,"Person, die Speisen zu den Feldarbeitern bringt",5910
kreischen,lautes Schreien ohne Verständigungsabsicht,5560
Kleinlein,Familienname,7110
Rainfuhre,"Weg, der auf dem Rain entlangführt",7420
Jutenstrick,Band zum Verschnüren der Getreidegarben,7440
Läuspfadel,gerade gezogener Scheitel (spöttisch),5940
alltritt,immer wieder nach kurzer Zeit,9400
Dunkel (in Redensart),"Zweitabschnitt, in dem Dunkelheit herrscht",2100
gute Melkkuh,"Peron, die man ausnutzen kann",6117
Schneckenhörnlein,Fühler der Schnecke,4500
Zusammenkratzig,Restgetreide auf dem Acker,7440
Viecherei,schwere Arbeit,5540
Erdäpfelreiberlein,Rest der Kartoffel nach dem Reiben,7740
hirnwirblig,"verwirrt, wirr im Denken",6250
Verbrechermaske,Maske zum Bedecken des Gesichts bei einem Überfall,5936
hops,schwanger,5350
Sattelochse,Ehemann (verächtlich),0
entfernen,einem Schlachttier die Innereien entnehmen,7565
bewegen,bewegen,9800
Barrasbock,sturer Unteroffizier,8500
Stiftmaschine,volkstümliche Bezeichnung für die Dreschmaschine,7402
Barras,Brotlaibchen,5910
Niete,Befestigungsbolzen am Ofenrohr,7750
aufwerfen,Maulwurfshaufen aufwerfen,4130
Schmalz,"Druck, der hinter einem Wurf (z. B. Steinwurf) sitzt",9230
allet,"auf alle Fälle, unbedingt",9240
züngeln,Gelüste haben,6400
zusammenratzen,"raffen, an sich reißen",7600
absteipern,Balken mit Pflöcken abstützen,7710
Pläppe,"hängende Lippe, Schmollmund",5200
Kässack,Person mit sehr blasser Gesichtsfarbe,5120
abgöcken,stark husten,5700
abspielen,jemandem Geld beim Spiel abgewinnen,7390
redsprächig,"mitteilsam, redegewandt, beredt",7210
Schnut(t)e,"verdrießlicher, beleidigter Gesichtsausdruck",5510
Dünnbrühe,"dünne, wässrige Suppe",5911
Gegend,"Gegend, Landschaft, Region",8160
racken,"straff sein, Straffheit halten",7500
gerade,"jetzt, in diesem Moment",9600
Schlarber,älterer Mann mit schlechter Gangart,5145
anhinziehen,Haare streng nach hinten kämmen,5940
auf den Arm nehmen,"jemanden beschwindeln, zum Narren halten",6530
untersuchen,Tier auf Trächtigkeit abgreifen,7450
hinausbrüsten,sich hinausbeugen,5550
Herzkasperl,Herzinfarkt,5700
Pflotsche,vor Gram schief hängender Mund,5510
verdörren,"dürr, trocken werden",9230
Steige,"Gefäß, in das man Äpfel pflückt",7480
Metzelpfeffer,"Körperteile, z. B. Hautstücke oder Stücke von Fingernägeln, die durch Verletzungen beim Kochen in das Essen gelangen",5700
Säukartoffeln,"kleine, minderwertige Kartoffel",3400
schreien,"Knirschen von Schnee, wenn man darüber läuft",2200
hösen,eilig laufen,5533
herumkrabbeln,in etwas kramend suchen,5520
Klöppel,"hölzerner Hammer, mit dem man den Hahn in das Bierfass schlägt",5920
Neue,Neumond,2100
Abendmahl,Abendessen nach der Stallarbeit,5910
Wenigstes,Hauptsache,9400
"hineinmummen, sich",sich warm anziehen,5930
Goldesel,"magisches Wesen, das Geld ausscheidet",8810
füttern,füttern (Tier),7450
Strupfer1,"Schlaufe am Schuh, Stiefel zum Erleichtern des Anziehens",5930
Wichtigtuer,Wortführer in einer Gruppe von Menschen,6118
Drehwuchs,verdrehtes Wachstum bei Bäumen,9220
Schleiche,Schlangenart,4400
Arschplempel,Mensch (pejor),6111
Giftnudel,"ständig schimpfende, keifende Frau",6131
Einsehen,Verständnis für etwas,6332
anstellen,sich dumm stellen,6210
Nachstreifig,Restähren auf dem Getreideacker,7440
Stock,Langholzabschnitt,7550
Butz,körperlich schwächstes Kind in der Klasse,5172
abstrampeln,sich bis zur Erschöpfung beeilen,5600
"verdrücken, sich",schnell weggehen,5532
Holzstock,Holzstock (in Redensart),7520
Herhau,Durcheinander in der Küche nach dem Kochen,7740
Eielein,Anrede unter Verliebten,6332
Lehrerbätzelein,"Liebling, bevorzugter Schüler des Lehrers",7010
aufschlappen,auftauen gefrorenen Bodens,2700
Reutel,unfairer Fußballspieler,7340
wissen,zu tun haben mit,6200
Böckel,"Rodel-, Lastschlitten, bei dem die Kufen vorn im 90°-Winkel hochgebogen sind",7405
karessieren,"abhauen, weglaufen",5532
herunterbleschen,"Ausdruck für ""die Sonne brennt herunter""",2100
Gäubauer,Libelle (Insekt),4700
schlampet,"ungeordnet, ungekämmt (Haar)",5940
Arretierer,Urheber eines Streits,7030
muffet,"muffig, abgestanden riechend",5430
Plan,"Tanzfläche, auf dem der Kirchweihtanz stattfindet",8740
schänden,jemanden anschreien,6333
abblasen,durch Blasen entrahmen,7455
geröstet,Mehleinbrenne,5910
Kindstaufkaffee,Festessen bei der Kindstaufe,7322
Affenkarren,"Fernseher, Fernsehgerät",7730
nicht geheuer,"unheimlich, furchteinflößend",7350
plattdrücken,niedergedrückt sein vom Getreide durch Wind,7440
Sellerlein,Sellerie,3400
Fronleichnamsrose,Pfingstrose,3800
Kerker,Familienname,7110
"trollen, sich",schnell weggehen,5532
Stutzer,"abgeschriebener, kurz gewordener Bleistift",7565
Stupfelschürfen,das erste Pflügen nach der Ernte,7440
petzen,kneifen,5520
Bürschlein,kleiner Mann,5142
eingemummt,sich warm anziehen,5930
anknuppern,den Kopf anschlagen (Kinderwort),9800
hören,"vernehmen, zur Kenntnis nehmen",5420
Leckgosche,"Mensch, der gerne etwas Gutes nascht",6110
abruschen,Hose abwetzen,5930
Streich,"Unsinn, Unfug",6560
Fliege,"querstehende, steife (auf einem Band befestigte) Schleife, die Herren als Schmuck zwischen den Kragenspitzen tragen",5933
durcheinanderbringen,sich beim Sprechen verwirren,5360
Affe,von den Kindern auf dem Eis gebrauchter Schlitten,7360
Docke,Anrede unter Verliebten,6332
Lumpelein,"Mensch, der etwas gestohlen hat",8320
Ware zum Einreiben,flüssiges Medikament zum Einreiben,5700
Holzkeil,sich einen Holzsplitter einstechen,5700
angsten,weinen aus körperlichem Schmerz,6320
Fransen,kleiner Essensrest,5910
Altane,Dachterrasse,7720
Zahnlück,"Mensch, der eine auffallende Zahnlücke hat",5120
abstäuben,jemandem Geld beim Spiel abgewinnen,7390
Dockenkleid,Puppenkleid,7360
Glotzofon,Fernsehgerät,7730
Warte-ein-Weilchen,fiktive Ware,7600
Hemdscheißerlein,Buschwindröschen (Anemone nemorosa),3500
viel halten,"jemanden achten, hochschätzen",6332
Mäuslein,Freundin,7012
Grundbirnenschäufelein,in Fett gebratene Kartoffelstückchen,5911
Baciu,Familienname,7110
Erich,männlicher Vorname,7120
Aschenkehrer,Katholik,7130
Bauhöflein,Lagerplatz von Baumaterial,7500
Wasserbüchse,Wasserpistole aus hohlen Holunderästen,7360
bleuen,Schlagen der nassen Wäsche,5600
Schindaas,"freches Mädchen, das den Unterricht stört",6136
hasardisch,gehässig,6280
Verratwäsche,"Klatschmaul, Denunziant",6135
Magermilch,stark entrahmte Milch,7455
Hanswurst,"jemand, der sich ungebührlich benimmt",6116
Geschlampe,Unordnung,9320
Wirbel,"Gerstenkorn, eitrige Entzündung einer Talgdrüse am Augenlid",5700
eindecken,in größerem Umfang einkaufen,7600
Panzer,sturer Mensch,6117
ausquetschen,jemandem Geld beim Spiel abgewinnen,7390
matschig,wässrig und klumpig vom Schnee,2200
ausnehmen,(Getreide) in der Scheune aufheben,7400
Grundbirnenschäufelein,"in Scheiben geschnittene und in Fett angebratene gekochte Kartoffeln, Bratkartoffeln",5911
Siebengescheiter,"Person, die ohne viel Überlegung drauflosredet",6110
Magst-du-mich-Tüchelein,Einstecktuch; Tuch zum Schmuck der äußeren Brusttasche v.a. bei Herren,5933
Aferlauge,Seifenbrühe,7770
Patschbüttel,"Schulkind, das dem Lehrer immer alles verrät",8400
Abgestandiges,"Restbier, das über Nacht im Fass geblieben ist",5920
schwürig,"entzündet, mit Geschwüren bedeckt",5700
Wamplein,hervortretender Bauch von kleinen Kindern,5210
ängen,"jemanden kränken, jemanden in seinem Selbstgefühl treffen",6320
immer,"jedes Mal, stets",9600
Stumpf,ein dicker und dabei sehr kleiner Bub,5171
herumrumpeln,schnell und dennoch gut arbeiten,6430
Pferdschädel,Libelle (Insekt),4700
Gift,heftiger Ärger,6320
aufsteigen,zusammenbrauen von Gewitter,2200
käset,blass wie Käse,5700
grausen,"Beklemmung, Widerwillen empfinden",6320
Quasselpeter,"Mann, der ununterbrochen redet, sich gern reden hört",6126
Gnade,Gnade,8810
juchzen,Laute von sich geben: Pferd,4020
gebrauchen,für bestimmte Aufgaben verwendbar,6420
anbimsen,"ein Mädchen verführen, für ein Liebesverhältnis gewinnen",5350
Nudelein,Blütenstände der Haselnuss,3010
Bienenkorb,Bienenkorb (in Redensart),4700
Sitzstütze,senkrecht oder leicht schräg auf den Schlittenkufen stehende Strebe (Abbildung 7-20),7405
hinaufstreifeln,Hosenbeine hochkrempeln,5933
vermasseln,vergessen,6230
lällen,"lärmen, poltern",5560
Gispel,"Mensch, der sich übereilt und dadurch alles verkehrt macht",6114
Brotzelsuppe,streitsüchtige Person,6112
Einwickelpappe,"Papierchen, in das man Bonbons wickelt",5920
Gekrümel,Brotkrumen,5910
Bär,Bär,5940
hü,"Tierzuruf ""vorwärts""",1230
gecksen,"aufbringen, erbosen, necken",6333
gegen,im Austausch für,9310
Gäblein,"Menge, die man auf eine Gabel laden kann, Maßeinheit",9400
Bibhahn,"Hahn, der für den Hahnenkampf ausgebildet ist; Draufgänger, Kämpfer",4240
wimmeret,"Eigenschaft von Holz eines Baums, der vom Wind gedreht, gewunden ist",7550
Stiefelholz,grobschlächtiger Mann,5140
blutt,"schwach, kümmerlich, dürftig landwirtschaftlicher Ertrag, Pflanzenwuchs",3010
Blöcklein,Langholzabschnitt,7550
Milchblume,Löwenzahn mit weißer Samenkugel,3500
Eisrutscher,Schlitten zum Fortbewegen auf zugefrorenem Bach,7405
schmecken,schmecken als Wahrnehmung (in Redensart),5440
alle,"aufgebraucht, aufgegessen",1130
Eisenbahn,Eisenbahnzug,7830
aussetzen,kurze Erholungspause machen,5600
Rupfhase,"kleines, mageres Mädchen",5164
Beißer,kalter Nordwind,2300
Allerweltsnarr,"habgieriger, reicher Mann",6122
dachset,"grau, blaugrau",9231
plärrig,laut sprechend,7200
zerdrückt,durch Drücken zerkleinert,9130
Kuppelvater,Heiratsvermittler,7321
"zusammenzerren, sich",zusammenbrauen von Gewitter,2200
zusern,an den Fingern frieren,5450
gebratene Grundbirnen,in Fett gebratene rohe Kartoffelstückchen,5911
tapfer,"schnell, rasch",9800
Häcklein,Hacke,7402
Feuerstein,Bonbon,5920
gelagert,niedergedrückt vom Getreide durch Wind,7440
donnern,"sehr schnell fahren, sich sehr schnell fortbewegen",7820
Stockhaue,Gerät zur Bodenbearbeitung,7402
Haferl,große Kaffeetasse,7735
Griebenfett,zerlassener Speck,5910
